,Total Fuel (g),Total CO2 (g),Avg Stress,Switch Count,SSI,Fuel (%),CO2 (%)
diesel,159553548.1787,507182813.0923,0.4442,0.0,0.0,100.0,100.0
cng,213063549.6826,667995303.7091,0.2931,0.0,0.0,133.54,131.71
rule,279398661.3672,878141370.0599,0.2358,8812.0,0.5137,175.11,173.14
pid,220816963.3732,700306471.1213,0.2652,5808.0,0.3367,138.4,138.08
ai,158424030.4529,499929090.188,0.2057,9171.0,0.8791,99.29,98.57
