time,veh_id,mode,fuel,co2,stress,cng_tank_kg
1.0,0,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
2.0,0,diesel,891.2844874201857,2833.0631996143843,0.0,11.999162777777778
2.0,1,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
3.0,0,diesel,1450.687492079371,4611.447401943106,0.0,11.999162777777778
3.0,1,diesel,752.5556802141331,2392.034796286073,0.0,11.999162777777778
3.0,2,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
4.0,0,diesel,1163.6663886955823,3699.019182757973,0.0,11.999162777777778
4.0,1,diesel,949.7019867954203,3018.7883228969768,0.0,11.999162777777778
4.0,2,diesel,779.028203379778,2476.192978329541,0.0,11.999162777777778
4.0,3,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
5.0,0,diesel,1916.8104610870498,6093.299181707762,0.0,11.999162777777778
5.0,1,diesel,1258.1136255001027,3999.2570980343676,0.0,11.999162777777778
5.0,2,diesel,989.2907068944968,3144.643898694854,0.0,11.999162777777778
5.0,3,diesel,861.8450075862568,2739.4732633750164,0.0,11.999162777777778
5.0,4,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
5.0,5,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
6.0,0,diesel,2377.7291280081868,7558.587943004406,0.0,11.999162777777778
6.0,1,diesel,1296.4033876077722,4120.998343804116,0.0,11.999162777777778
6.0,2,diesel,1464.8369904299311,4656.43982364101,0.0,11.999162777777778
6.0,3,diesel,1243.943045414448,3954.1978509814344,0.0,11.999162777777778
6.0,4,diesel,836.774668496255,2659.773030199949,0.0,11.999162777777778
6.0,5,diesel,721.2961172357594,2292.6580462076386,0.0,11.999162777777778
6.0,6,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
7.0,0,diesel,1842.0644550313768,5855.713388156931,0.0,11.999162777777778
7.0,1,diesel,1890.7306271521518,6010.395045075515,0.0,11.999162777777778
7.0,2,diesel,1316.1291723407849,4183.711814891675,0.0,11.999162777777778
7.0,3,diesel,1098.726250199173,3492.5676754269234,0.0,11.999162777777778
7.0,4,diesel,1293.3969071950903,4111.412965103189,0.0,11.999162777777778
7.0,5,diesel,1082.6331857155774,3441.3818759882706,0.0,11.999162777777778
7.0,6,diesel,844.2575164080768,2683.561495832387,0.0,11.999162777777778
7.0,7,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
8.0,0,diesel,2306.405553589227,7331.872793248276,0.0,11.999162777777778
8.0,1,diesel,2299.728906044762,7310.626236407572,0.3326598898124799,11.999162777777778
8.0,2,diesel,1917.8748286206524,6096.690688328031,0.0,11.999162777777778
8.0,3,diesel,1549.1479991627198,4924.485452070726,0.0,11.999162777777778
8.0,4,diesel,1099.896902379812,3496.2896351114987,0.0,11.999162777777778
8.0,5,diesel,1173.9846050213469,3731.8099509670446,0.0,11.999162777777778
8.0,6,diesel,1050.2587480317827,3338.4664655994593,0.0,11.999162777777778
8.0,7,diesel,772.7927291419506,2456.3699392785356,0.0,11.999162777777778
8.0,8,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
9.0,0,diesel,2684.0020791365546,8532.268884060724,0.2379142668213054,11.999162777777778
9.0,1,diesel,721.5097493085352,2293.4452096477785,0.3447113340616131,11.999162777777778
9.0,10,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
9.0,2,diesel,2105.060278104871,6691.772828884096,0.3424316825649562,11.999162777777778
9.0,3,diesel,1514.1189348182577,4813.142263753393,0.0,11.999162777777778
9.0,4,diesel,1276.236649733384,4056.892070901993,0.0,11.999162777777778
9.0,5,diesel,1719.4981251018164,5466.0300283915285,0.0,11.999162777777778
9.0,6,diesel,1467.200260911636,4663.955515131387,0.0,11.999162777777778
9.0,7,diesel,1006.9821844485847,3200.8857470315356,0.0,11.999162777777778
9.0,8,diesel,933.1066728364618,2966.018403238108,0.0,11.999162777777778
9.0,9,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
10.0,0,diesel,4191.7189765197245,13325.336487485192,0.3610515824550951,11.999162777777778
10.0,1,diesel,1168.3566304587773,3713.9835185128472,0.394888915876422,11.999162777777778
10.0,10,diesel,1039.2283979879699,3303.385149976446,0.0,11.999162777777778
10.0,11,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
10.0,2,diesel,2315.1021480926097,7359.513229597853,0.47982387447243896,11.999162777777778
10.0,3,diesel,2375.1300193901984,7550.329174636663,0.3478143776024715,11.999162777777778
10.0,4,diesel,2338.4096546561177,7433.581208359002,0.23169633916789062,11.999162777777778
10.0,5,diesel,1795.4624249314231,5707.540057150291,0.20094784711397523,11.999162777777778
10.0,6,diesel,1327.2056032611174,4218.926291168782,0.0,11.999162777777778
10.0,7,diesel,1347.3202080266676,4282.850023700432,0.0,11.999162777777778
10.0,8,diesel,1441.4123684004876,4581.962505391378,0.0,11.999162777777778
10.0,9,diesel,799.8639928860842,2542.4314650801634,0.0,11.999162777777778
11.0,0,diesel,2724.067699180054,8659.65622800874,0.4242823266304366,11.999162777777778
11.0,1,diesel,779.8366926643359,2478.8743585999723,0.4097743025410489,11.999162777777778
11.0,10,diesel,1380.8668622103526,4389.488560901136,0.0,11.999162777777778
11.0,11,diesel,763.3516225503763,2426.3559416396724,0.0,11.999162777777778
11.0,12,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
11.0,2,diesel,0.0,0.0,0.4177320897524042,11.999162777777778
11.0,3,diesel,3135.8462227566456,9968.676455784846,0.5390297560386035,11.999162777777778
11.0,4,diesel,2424.2801664642716,7706.583189878347,0.3941721798928523,11.999162777777778
11.0,5,diesel,0.0,0.0,0.0,11.999162777777778
11.0,6,diesel,0.0,0.0,0.0,11.999162777777778
11.0,7,diesel,1657.6391419014951,5269.380949459645,0.0,11.999162777777778
11.0,8,diesel,1793.9879697181996,5702.8325937802465,0.0,11.999162777777778
11.0,9,diesel,1075.8292421533843,3419.7547888429804,0.0,11.999162777777778
12.0,0,diesel,4107.611488653785,13057.968551959642,0.5208881719156926,11.999162777777778
12.0,1,diesel,0.0,0.0,0.3420798427888833,11.999162777777778
12.0,10,diesel,1227.7994149000463,3902.901814765446,0.0,11.999162777777778
12.0,11,diesel,1176.7120108254744,3740.464364088174,0.0,11.999162777777778
12.0,12,diesel,724.7396264290896,2303.6052610509487,0.0,11.999162777777778
12.0,13,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
12.0,2,diesel,1807.8280272907853,5746.884059503799,0.5101174864516864,11.999162777777778
12.0,3,diesel,869.1758862020697,2762.8989267216375,0.5552338822878398,11.999162777777778
12.0,4,diesel,1156.905459314463,3677.5846832937273,0.4399298690072662,11.999162777777778
12.0,5,diesel,897.7968015728098,2853.8118806431694,0.2662773469470638,11.999162777777778
12.0,6,diesel,0.0,0.0,0.0,11.999162777777778
12.0,7,diesel,1994.864786606542,6341.446520227392,0.22837067612757272,11.999162777777778
12.0,8,diesel,2179.6712503174363,6928.948677404261,0.22539952634904165,11.999162777777778
12.0,9,diesel,1449.1763824020106,4606.656546634728,0.0,11.999162777777778
13.0,0,diesel,1255.1682957297205,3990.009309868347,0.5298689612069585,11.999162777777778
13.0,1,diesel,1625.7810204522402,5168.1460180190725,0.4289757267364995,11.999162777777778
13.0,10,diesel,2139.2054204743145,6800.3006952033065,0.0,11.999162777777778
13.0,11,diesel,1191.7833078063136,3788.3958839870543,0.0,11.999162777777778
13.0,12,diesel,1321.0870127020098,4199.437156739591,0.0,11.999162777777778
13.0,13,diesel,728.114683491876,2314.334857276785,0.0,11.999162777777778
13.0,14,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
13.0,15,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
13.0,2,diesel,0.0,0.0,0.4448116335807139,11.999162777777778
13.0,3,diesel,0.0,0.0,0.5291914695238407,11.999162777777778
13.0,4,diesel,1656.8341685205223,5266.873178159962,0.519400144408332,11.999162777777778
13.0,5,diesel,490.3844878911823,1558.640478281616,0.0,11.999162777777778
13.0,6,diesel,0.0,0.0,0.2909011521282466,11.999162777777778
13.0,7,diesel,1596.0858374278519,5073.733605756135,0.3257512093351322,11.999162777777778
13.0,8,diesel,2659.7450824395846,8455.130939391132,0.4062037053883419,11.999162777777778
13.0,9,diesel,1424.1997558580338,4527.273113228984,0.0,11.999162777777778
14.0,0,diesel,0.0,0.0,0.5007520893505171,11.999162777777778
14.0,1,diesel,0.0,0.0,0.323047532937014,11.999162777777778
14.0,10,diesel,2209.137058075301,7022.632997973818,0.3290956052666552,11.999162777777778
14.0,11,diesel,1715.0709823515563,5451.958478481297,0.0,11.999162777777778
14.0,12,diesel,1783.6197043395066,5669.865596836917,0.0,11.999162777777778
14.0,13,diesel,1338.0755342180144,4253.444490276044,0.0,11.999162777777778
14.0,14,diesel,933.1823644953749,2966.2590313865676,0.0,11.999162777777778
14.0,15,diesel,710.0761452001109,2256.9887547573103,0.0,11.999162777777778
14.0,16,diesel,837.2222222222222,1895.5555555555554,0.2,11.999162777777778
14.0,2,diesel,1449.6231621127179,4608.145316321571,0.5089618695859441,11.999162777777778
14.0,3,diesel,677.7987186838842,2154.505920989611,0.5315690022789505,11.999162777777778
14.0,4,diesel,0.0,0.0,0.47905265466742614,11.999162777777778
14.0,5,diesel,1982.9601468192595,6303.5871837647055,0.0,11.999162777777778
14.0,6,diesel,0.0,0.0,0.0,11.999162777777778
14.0,7,diesel,456.7643000320793,1451.811923728265,0.31294535286650543,11.999162777777778
14.0,8,diesel,0.0,0.0,0.3770229131444753,11.999162777777778
14.0,9,diesel,1634.2078278784745,5194.9081340966395,0.0,11.999162777777778
15.0,0,diesel,2858.3712022839973,9086.61649951591,0.5560618786820615,11.999162777777778
15.0,1,diesel,0.0,0.0,0.0,11.999162777777778
15.0,10,diesel,2826.0235122383165,8983.742138174144,0.5033680996579326,11.999162777777778
15.0,11,diesel,0.0,0.0,0.0,11.999162777777778
15.0,12,diesel,1573.8659285795975,5003.07282775318,0.0,11.999162777777778
